TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Public,Male,Primary,2 years,Suburban,No,No,7869,12.8,Fail
Private,Female,Primary,None,Suburban,No,Yes,3247,16.7,Fail
Public,Female,Secondary,1 year,Urban,Yes,Yes,8088,16.9,Fail
Public,Female,Secondary,2 years,Suburban,No,No,1078,17.1,Fail
Public,Male,Tertiary,None,Urban,No,No,9080,18.9,Fail
Public,Female,Primary,None,Urban,No,No,8099,14.0,Fail
Private,Male,Primary,2 years,Rural,Yes,Yes,4926,12.4,Fail
Public,Female,Primary,None,Urban,No,Yes,8340,15.4,Pass
Private,Female,Primary,1 year,Rural,No,No,8083,10.6,Fail
Private,Male,Secondary,None,Rural,Yes,No,7230,13.3,Pass
Public,Male,Secondary,1 year,Urban,Yes,No,5940,18.8,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,4271,15.3,Fail
Private,Male,Primary,1 year,Suburban,Yes,No,4456,14.4,Fail
Public,Male,Secondary,2 years,Urban,No,No,8788,12.7,Pass
Public,Male,Secondary,None,Suburban,Yes,Yes,9599,12.5,Fail
Public,Female,Primary,2 years,Suburban,No,Yes,8650,12.4,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,3711,18.3,Fail
Private,Male,Tertiary,1 year,Suburban,Yes,Yes,2668,19.9,Pass
Private,Female,Tertiary,2 years,Rural,No,Yes,1147,15.3,Fail
Private,Male,Primary,None,Rural,Yes,No,7420,10.8,Pass
Public,Male,Tertiary,2 years,Urban,Yes,Yes,1365,17.5,Pass
Private,Female,Secondary,2 years,Urban,No,No,5531,18.8,Pass
Public,Female,Tertiary,1 year,Urban,No,Yes,6330,19.3,Fail
Public,Female,Secondary,1 year,Rural,Yes,No,6510,16.3,Fail
Public,Male,Primary,2 years,Suburban,Yes,No,9754,15.1,Pass
Public,Female,Primary,1 year,Rural,Yes,No,9964,16.2,Pass
Private,Male,Secondary,2 years,Suburban,No,No,7493,10.1,Pass
Public,Female,Secondary,None,Suburban,No,Yes,6439,16.6,Pass
Private,Male,Tertiary,None,Urban,Yes,Yes,7511,17.1,Fail
Public,Female,Secondary,1 year,Urban,No,Yes,8504,17.2,Fail
Public,Female,Primary,None,Urban,No,No,2246,15.6,Fail
Public,Female,Secondary,None,Rural,Yes,No,4839,17.0,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,9551,16.4,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,3376,11.2,Fail
Public,Female,Secondary,None,Urban,Yes,Yes,4009,19.0,Fail
Public,Female,Tertiary,1 year,Urban,No,No,2827,16.2,Pass
Public,Female,Tertiary,1 year,Suburban,Yes,No,7979,17.3,Pass
Private,Female,Primary,1 year,Suburban,Yes,No,9569,13.4,Fail
Private,Male,Secondary,None,Urban,No,No,5285,19.2,Pass
Public,Female,Primary,1 year,Rural,No,Yes,7910,15.0,Fail
Public,Female,Primary,1 year,Urban,No,No,9561,16.8,Fail
Private,Male,Tertiary,2 years,Rural,No,Yes,3196,19.5,Pass
Private,Male,Primary,2 years,Urban,No,No,4747,19.2,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,9843,16.4,Pass
Public,Female,Secondary,2 years,Suburban,No,Yes,6978,11.7,Fail
Private,Male,Secondary,1 year,Rural,Yes,Yes,6607,19.5,Pass
Public,Male,Primary,2 years,Rural,Yes,No,1769,19.8,Pass
Private,Female,Secondary,2 years,Urban,No,Yes,1780,11.0,Pass
Private,Male,Secondary,None,Suburban,Yes,Yes,7303,14.5,Pass
Public,Male,Primary,2 years,Urban,No,No,4983,15.5,Pass
Private,Female,Primary,2 years,Urban,Yes,Yes,9714,10.9,Pass
Public,Female,Primary,None,Rural,No,No,1521,11.9,Fail
Private,Male,Primary,1 year,Urban,No,Yes,8569,15.4,Pass
Public,Female,Tertiary,1 year,Suburban,No,Yes,6784,19.6,Fail
Private,Female,Primary,None,Urban,No,Yes,5583,10.3,Pass
Private,Female,Primary,None,Suburban,No,No,6946,19.1,Pass
Public,Female,Secondary,1 year,Rural,No,Yes,5941,19.0,Pass
Public,Female,Secondary,2 years,Rural,Yes,Yes,7267,18.6,Fail
Public,Male,Primary,None,Urban,Yes,No,8128,13.8,Pass
Public,Male,Primary,None,Suburban,Yes,No,3461,14.9,Fail
Private,Female,Primary,None,Rural,Yes,No,1685,14.0,Fail
Private,Female,Secondary,1 year,Suburban,Yes,No,3160,19.5,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,8031,15.2,Pass
Private,Male,Primary,1 year,Rural,No,No,6341,10.8,Fail
Private,Male,Secondary,1 year,Suburban,No,No,1038,12.7,Pass
Private,Male,Secondary,1 year,Suburban,Yes,Yes,5875,14.6,Fail
Public,Male,Primary,2 years,Suburban,No,Yes,2256,19.5,Pass
Private,Female,Secondary,2 years,Rural,Yes,Yes,8697,15.7,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,3196,17.0,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,8165,10.9,Fail
Private,Male,Tertiary,1 year,Suburban,No,No,1301,18.8,Pass
Private,Female,Tertiary,None,Rural,Yes,Yes,8527,15.4,Fail
Private,Female,Secondary,None,Suburban,No,Yes,7381,19.2,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,1646,14.5,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,9789,16.8,Pass
Private,Female,Primary,None,Urban,Yes,No,9853,14.7,Pass
Public,Male,Tertiary,None,Rural,Yes,Yes,5330,11.4,Fail
Private,Female,Secondary,None,Urban,Yes,No,8003,12.7,Fail
Private,Male,Tertiary,None,Urban,No,No,4537,10.7,Fail
Private,Male,Secondary,None,Rural,Yes,No,5558,14.4,Pass
Public,Female,Secondary,1 year,Rural,No,No,7579,16.5,Fail
Private,Male,Primary,1 year,Suburban,No,Yes,9474,12.4,Fail
Private,Male,Secondary,None,Rural,Yes,No,5082,14.9,Pass
Private,Female,Secondary,1 year,Suburban,No,Yes,5183,14.6,Pass
Private,Male,Tertiary,None,Urban,Yes,Yes,9652,15.3,Fail
Private,Female,Primary,None,Suburban,No,Yes,4754,11.8,Fail
Public,Female,Secondary,None,Rural,No,No,2724,15.3,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,2376,13.6,Fail
Public,Female,Primary,1 year,Urban,Yes,No,9706,12.9,Pass
Private,Female,Secondary,1 year,Rural,No,No,9894,15.9,Pass
Public,Male,Tertiary,1 year,Rural,Yes,Yes,2653,11.5,Pass
Private,Female,Primary,2 years,Suburban,No,No,3066,19.0,Fail
Private,Male,Primary,None,Suburban,Yes,No,1022,19.3,Fail
Public,Male,Primary,None,Suburban,No,Yes,3460,16.6,Fail
Public,Female,Primary,1 year,Urban,No,Yes,6926,13.0,Pass
Private,Male,Secondary,1 year,Urban,No,No,7251,16.3,Fail
Public,Female,Secondary,2 years,Rural,Yes,Yes,8295,16.0,Pass
Public,Male,Primary,None,Rural,No,No,4300,13.9,Fail
Private,Female,Primary,None,Urban,Yes,No,7279,12.9,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,9553,11.7,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,8353,12.2,Fail
Private,Male,Primary,2 years,Urban,No,Yes,4727,16.5,Pass
Private,Female,Secondary,None,Suburban,No,Yes,7272,18.9,Pass
Public,Female,Secondary,2 years,Urban,No,Yes,6995,13.8,Pass
Private,Male,Tertiary,None,Suburban,Yes,No,1514,11.2,Fail
Public,Female,Secondary,1 year,Suburban,Yes,No,1448,10.1,Pass
Private,Female,Primary,2 years,Rural,No,No,7019,14.1,Fail
Private,Male,Secondary,1 year,Suburban,Yes,Yes,6343,12.3,Pass
Public,Male,Primary,None,Suburban,Yes,No,9033,13.2,Pass
Private,Female,Secondary,None,Urban,No,No,3520,12.4,Pass
Public,Male,Primary,2 years,Urban,No,Yes,4081,16.6,Pass
Public,Male,Primary,1 year,Urban,No,Yes,2428,16.4,Fail
Public,Female,Secondary,None,Urban,No,Yes,4967,19.1,Pass
Private,Male,Primary,None,Suburban,Yes,No,7445,17.0,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,3159,11.6,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,6132,17.5,Pass
Private,Male,Secondary,1 year,Urban,Yes,Yes,3547,11.8,Pass
Private,Female,Primary,2 years,Suburban,Yes,No,3979,15.6,Pass
Private,Male,Secondary,None,Rural,Yes,No,3649,10.8,Fail
Public,Male,Tertiary,1 year,Suburban,No,Yes,9505,10.5,Fail
Private,Female,Primary,1 year,Rural,No,Yes,4083,14.6,Fail
Private,Male,Tertiary,1 year,Rural,No,No,2037,11.0,Fail
Private,Male,Tertiary,None,Rural,No,No,4489,13.1,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,8604,13.4,Fail
Public,Male,Tertiary,1 year,Rural,Yes,Yes,8544,17.7,Pass
Public,Male,Secondary,None,Suburban,No,No,3634,13.3,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,4983,14.9,Fail
Public,Female,Primary,1 year,Urban,Yes,No,2778,17.7,Fail
Public,Male,Tertiary,2 years,Urban,No,No,8902,12.0,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,6110,18.0,Fail
Public,Female,Tertiary,2 years,Rural,Yes,No,6189,18.3,Fail
Public,Female,Secondary,None,Urban,No,Yes,8378,19.9,Pass
Private,Female,Tertiary,1 year,Urban,Yes,No,2124,14.4,Fail
Private,Male,Tertiary,1 year,Suburban,Yes,Yes,1697,13.7,Pass
Public,Female,Tertiary,1 year,Urban,Yes,No,3179,17.0,Pass
Private,Female,Primary,None,Suburban,No,Yes,6251,10.6,Pass
Private,Male,Secondary,2 years,Rural,Yes,Yes,2929,10.4,Fail
Public,Female,Secondary,None,Suburban,Yes,Yes,2013,13.3,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,1226,17.3,Fail
Public,Male,Primary,2 years,Suburban,Yes,Yes,8321,11.2,Fail
Public,Male,Tertiary,None,Suburban,Yes,Yes,2828,16.4,Fail
Private,Male,Primary,None,Suburban,No,No,8909,12.7,Fail
Public,Male,Secondary,None,Rural,Yes,No,6588,16.5,Fail
Public,Female,Secondary,None,Rural,Yes,Yes,3023,14.6,Fail
Private,Male,Secondary,2 years,Suburban,No,Yes,5966,11.2,Fail
Private,Female,Primary,None,Rural,Yes,No,6891,12.5,Pass
Private,Male,Secondary,2 years,Suburban,Yes,Yes,2080,12.2,Pass
Private,Female,Tertiary,None,Rural,Yes,No,6036,11.6,Pass
Public,Male,Primary,1 year,Suburban,No,No,3563,14.7,Pass
Private,Male,Tertiary,None,Urban,No,Yes,4292,19.5,Fail
Private,Male,Secondary,None,Urban,No,Yes,4586,16.6,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,5431,18.4,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,7841,19.8,Pass
Public,Female,Tertiary,None,Suburban,No,No,7643,15.4,Fail
Public,Male,Primary,None,Urban,No,No,4959,12.4,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,1161,19.3,Fail
Private,Female,Secondary,2 years,Suburban,No,Yes,1593,17.0,Fail
Public,Male,Primary,1 year,Urban,No,No,4390,19.6,Pass
Public,Female,Primary,None,Suburban,Yes,Yes,6997,16.5,Pass
Public,Male,Tertiary,2 years,Urban,Yes,No,7354,17.8,Pass
Public,Female,Secondary,None,Rural,Yes,Yes,1663,18.9,Pass
Private,Female,Secondary,1 year,Rural,Yes,No,1541,17.6,Fail
Public,Male,Tertiary,None,Rural,Yes,No,6433,15.6,Pass
Private,Female,Tertiary,1 year,Suburban,Yes,No,6093,14.7,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,1867,18.2,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,9623,17.7,Fail
Private,Male,Tertiary,1 year,Rural,Yes,Yes,6469,13.7,Fail
Private,Female,Secondary,2 years,Rural,No,No,7256,15.0,Fail
Private,Female,Secondary,2 years,Urban,Yes,No,2169,16.3,Fail
Public,Female,Primary,2 years,Rural,Yes,No,1830,10.3,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,2651,12.5,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,2136,12.5,Fail
Private,Female,Secondary,1 year,Suburban,No,Yes,3810,18.8,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,9667,13.3,Pass
Public,Male,Secondary,2 years,Urban,Yes,Yes,2019,15.5,Fail
Public,Female,Primary,1 year,Rural,Yes,No,6237,18.3,Fail
Private,Female,Primary,2 years,Urban,Yes,Yes,2283,12.6,Fail
Private,Male,Tertiary,1 year,Rural,No,Yes,1659,11.2,Fail
Public,Male,Tertiary,2 years,Urban,No,Yes,3010,19.5,Pass
Private,Female,Primary,None,Urban,Yes,Yes,9590,17.0,Fail
Public,Female,Secondary,None,Rural,No,No,2733,11.8,Fail
Public,Male,Secondary,2 years,Rural,No,No,3125,18.2,Pass
Public,Male,Primary,1 year,Suburban,No,No,3171,17.9,Fail
Private,Male,Tertiary,2 years,Suburban,No,Yes,9266,18.4,Fail
Private,Female,Secondary,1 year,Suburban,Yes,No,4471,12.8,Pass
Public,Male,Tertiary,2 years,Urban,No,No,6624,14.5,Pass
Public,Male,Secondary,2 years,Urban,No,Yes,9691,16.9,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,No,9329,13.9,Pass
Public,Male,Secondary,1 year,Suburban,Yes,Yes,3097,10.7,Fail
Private,Male,Tertiary,2 years,Rural,Yes,No,6068,11.4,Fail
Public,Male,Tertiary,None,Suburban,Yes,Yes,7397,16.0,Pass
Private,Female,Tertiary,None,Urban,No,No,3757,13.8,Pass
Public,Female,Primary,None,Rural,Yes,No,4920,10.1,Pass
Private,Female,Tertiary,None,Suburban,No,Yes,9186,17.7,Pass
Private,Male,Primary,None,Suburban,Yes,No,2900,14.2,Fail
Private,Female,Primary,1 year,Suburban,No,Yes,3610,13.1,Fail
Private,Male,Tertiary,None,Rural,Yes,No,7900,17.1,Fail
Private,Male,Primary,1 year,Rural,Yes,Yes,2449,14.6,Pass
Public,Male,Primary,None,Rural,No,No,9738,16.9,Fail
Public,Male,Primary,1 year,Suburban,Yes,No,6017,10.1,Pass
Private,Male,Secondary,None,Rural,Yes,No,8999,10.1,Pass
Public,Female,Tertiary,None,Rural,Yes,Yes,7052,15.6,Pass
Public,Female,Primary,1 year,Rural,Yes,Yes,3096,19.8,Pass
Public,Female,Tertiary,1 year,Rural,Yes,Yes,9895,12.7,Fail
Public,Male,Primary,2 years,Urban,Yes,No,7404,16.8,Fail
Public,Female,Tertiary,None,Suburban,Yes,Yes,4331,11.7,Pass
Public,Male,Primary,None,Rural,Yes,Yes,8462,13.1,Fail
Public,Female,Secondary,1 year,Urban,Yes,No,6105,10.8,Pass
Private,Female,Secondary,1 year,Urban,Yes,Yes,3978,18.8,Fail
Public,Female,Secondary,None,Suburban,No,Yes,3839,13.1,Fail
Public,Female,Primary,None,Suburban,No,Yes,4384,12.3,Fail
Public,Female,Tertiary,1 year,Rural,No,No,1685,17.3,Pass
Private,Female,Primary,1 year,Suburban,No,Yes,8531,12.0,Pass
Private,Male,Secondary,None,Suburban,Yes,Yes,5283,12.4,Fail
Public,Male,Primary,1 year,Suburban,No,Yes,8736,11.0,Fail
Private,Male,Tertiary,1 year,Suburban,Yes,No,8710,19.6,Fail
Private,Male,Secondary,None,Rural,Yes,Yes,2619,12.5,Pass
Public,Male,Primary,2 years,Urban,No,No,7868,20.0,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,2431,11.8,Fail
Public,Male,Secondary,2 years,Urban,No,No,5713,10.2,Pass
Private,Male,Tertiary,1 year,Urban,No,Yes,5998,19.0,Fail
Public,Male,Tertiary,2 years,Urban,No,Yes,1162,15.8,Fail
Private,Male,Secondary,1 year,Suburban,No,No,2974,13.5,Fail
Public,Male,Primary,2 years,Suburban,Yes,No,4291,15.1,Fail
Public,Male,Primary,2 years,Rural,No,Yes,9461,12.6,Pass
Private,Male,Primary,1 year,Suburban,No,Yes,1631,16.3,Fail
Public,Male,Primary,2 years,Suburban,Yes,Yes,1905,16.2,Fail
Public,Male,Tertiary,None,Suburban,No,Yes,3014,10.8,Pass
Private,Female,Primary,None,Urban,Yes,Yes,8896,19.1,Pass
Public,Male,Primary,None,Rural,No,Yes,1204,14.6,Fail
Public,Male,Tertiary,2 years,Urban,No,No,1581,12.0,Pass
Private,Female,Tertiary,1 year,Rural,Yes,No,6675,13.1,Pass
Public,Female,Secondary,2 years,Suburban,Yes,No,6347,18.7,Pass
Private,Male,Tertiary,1 year,Suburban,Yes,No,3643,13.8,Fail
Public,Male,Secondary,2 years,Urban,No,Yes,9017,15.6,Pass
Private,Male,Secondary,1 year,Urban,No,No,3297,19.5,Pass
Private,Female,Primary,2 years,Urban,No,No,1874,16.5,Pass
Public,Male,Primary,2 years,Rural,Yes,No,6560,16.8,Fail
Private,Female,Primary,None,Urban,Yes,No,1689,12.5,Pass
Public,Female,Tertiary,2 years,Suburban,No,Yes,5000,16.7,Fail
Public,Female,Tertiary,None,Rural,Yes,No,1671,13.9,Fail
Private,Female,Primary,1 year,Rural,No,No,8927,19.1,Pass
Public,Female,Primary,1 year,Suburban,No,Yes,2171,11.3,Fail
Public,Male,Tertiary,None,Urban,Yes,Yes,6591,12.9,Fail
Private,Male,Secondary,2 years,Urban,Yes,No,7342,10.7,Fail
Public,Female,Secondary,1 year,Suburban,No,No,2449,13.8,Fail
Public,Female,Primary,2 years,Suburban,Yes,No,3539,11.5,Pass
Private,Female,Primary,2 years,Suburban,No,Yes,4959,18.5,Fail
Public,Female,Primary,2 years,Suburban,Yes,No,7285,19.3,Fail
Public,Male,Secondary,1 year,Rural,Yes,Yes,6432,16.7,Pass
Private,Female,Primary,1 year,Rural,Yes,Yes,5260,11.0,Fail
Public,Female,Secondary,2 years,Urban,No,No,3361,13.4,Pass
Public,Male,Tertiary,None,Rural,No,No,7164,19.6,Pass
Private,Male,Tertiary,None,Rural,No,Yes,4670,11.4,Pass
Public,Male,Tertiary,None,Rural,No,Yes,2753,15.6,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,9100,13.5,Pass
Private,Female,Tertiary,None,Rural,Yes,Yes,2938,20.0,Fail
Private,Female,Secondary,1 year,Urban,No,Yes,9562,12.9,Fail
Public,Female,Secondary,None,Rural,No,Yes,6976,10.5,Pass
Public,Female,Secondary,None,Suburban,No,No,7588,17.0,Fail
Private,Female,Primary,2 years,Rural,Yes,No,9616,13.3,Pass
Public,Female,Primary,1 year,Urban,Yes,No,7304,16.6,Fail
Public,Female,Secondary,1 year,Rural,Yes,No,8345,11.0,Fail
Public,Female,Secondary,None,Urban,No,Yes,8875,15.2,Pass
Private,Female,Secondary,2 years,Suburban,No,Yes,7633,13.8,Pass
Public,Male,Secondary,2 years,Urban,Yes,No,1597,15.4,Fail
Public,Female,Tertiary,None,Urban,No,No,4062,18.5,Pass
Private,Male,Secondary,1 year,Suburban,No,No,3336,19.7,Fail
Private,Male,Primary,1 year,Urban,Yes,No,1572,17.5,Fail
Private,Male,Primary,1 year,Rural,No,No,8521,17.7,Fail
Public,Male,Primary,2 years,Rural,Yes,Yes,7171,15.3,Fail
Public,Female,Primary,None,Urban,No,Yes,8097,11.0,Fail
Private,Male,Primary,2 years,Rural,No,No,3090,16.7,Fail
Public,Male,Secondary,1 year,Rural,No,No,7566,11.5,Pass
Public,Female,Secondary,2 years,Suburban,Yes,No,5624,12.5,Fail
Public,Male,Tertiary,1 year,Urban,Yes,No,2633,17.1,Pass
Public,Female,Tertiary,None,Rural,No,No,2517,16.6,Fail
Private,Female,Tertiary,1 year,Urban,No,No,4648,13.1,Fail
Private,Female,Secondary,None,Urban,Yes,No,2537,17.7,Fail
Public,Female,Tertiary,2 years,Rural,No,No,4137,19.4,Fail
Private,Male,Secondary,2 years,Suburban,No,Yes,7985,15.5,Pass
Public,Female,Primary,2 years,Suburban,Yes,No,1097,16.8,Pass
Public,Male,Secondary,1 year,Urban,No,No,4750,12.7,Pass
Private,Male,Secondary,None,Suburban,No,No,9535,19.7,Fail
Private,Female,Primary,2 years,Rural,No,Yes,9174,12.7,Fail
Public,Male,Primary,2 years,Rural,No,No,9103,18.9,Fail
Public,Female,Primary,None,Suburban,Yes,Yes,6413,19.3,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,5666,17.2,Pass
Public,Male,Tertiary,2 years,Urban,Yes,Yes,1610,18.1,Fail
Private,Male,Tertiary,1 year,Suburban,No,Yes,2727,14.6,Fail
Private,Male,Primary,1 year,Urban,Yes,No,2854,19.2,Pass
Public,Female,Tertiary,1 year,Rural,No,No,6055,17.4,Pass
Public,Female,Primary,2 years,Suburban,No,No,3324,13.3,Fail
Private,Male,Primary,2 years,Urban,No,Yes,6774,10.3,Pass
Public,Male,Primary,None,Urban,Yes,Yes,7519,15.4,Pass
Private,Male,Tertiary,None,Urban,No,No,2749,18.4,Pass
Public,Male,Tertiary,1 year,Urban,No,Yes,1781,18.6,Fail
Private,Female,Primary,2 years,Rural,No,No,8548,18.4,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,7823,12.1,Pass
Public,Male,Secondary,None,Urban,No,No,3105,14.3,Fail
Public,Male,Tertiary,1 year,Suburban,Yes,No,4867,16.1,Fail
Private,Female,Primary,1 year,Suburban,Yes,Yes,8193,16.7,Fail
Private,Male,Primary,2 years,Rural,No,Yes,5976,13.3,Pass
Public,Female,Primary,1 year,Suburban,No,Yes,3113,16.9,Fail
Public,Female,Secondary,1 year,Rural,Yes,Yes,6879,15.9,Pass
Public,Male,Primary,2 years,Rural,Yes,Yes,4970,15.7,Fail
Public,Male,Primary,2 years,Urban,Yes,No,8264,16.6,Fail
Private,Male,Tertiary,None,Rural,Yes,No,2577,16.0,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,3274,11.7,Pass
Private,Female,Tertiary,1 year,Rural,No,Yes,5869,18.7,Pass
Public,Male,Primary,None,Rural,Yes,Yes,7744,12.4,Fail
Public,Female,Primary,None,Suburban,Yes,No,3426,17.4,Fail
Private,Male,Secondary,None,Urban,Yes,No,6546,11.8,Fail
Public,Male,Primary,None,Suburban,No,No,7852,16.6,Pass
Private,Male,Secondary,1 year,Rural,Yes,No,3551,19.0,Pass
Private,Male,Tertiary,1 year,Urban,Yes,No,7411,10.1,Fail
Private,Male,Secondary,1 year,Rural,Yes,No,1007,19.8,Pass
Private,Male,Tertiary,1 year,Rural,Yes,No,9087,10.3,Fail
Public,Female,Primary,None,Suburban,Yes,Yes,3555,10.1,Pass
Private,Female,Tertiary,1 year,Urban,Yes,No,1475,18.6,Fail
Public,Female,Tertiary,None,Urban,Yes,No,6416,17.1,Fail
Private,Male,Tertiary,2 years,Urban,Yes,No,9676,11.1,Fail
Private,Male,Secondary,1 year,Rural,No,No,8239,19.4,Fail
Private,Male,Tertiary,2 years,Urban,No,Yes,7710,16.7,Fail
Private,Female,Secondary,2 years,Rural,No,Yes,6000,11.1,Pass
Public,Male,Secondary,1 year,Rural,Yes,Yes,5654,18.6,Pass
Public,Female,Secondary,None,Rural,No,Yes,9078,14.8,Pass
Public,Male,Primary,2 years,Urban,Yes,No,7063,12.8,Fail
Public,Female,Primary,1 year,Suburban,No,Yes,3285,18.3,Pass
Private,Male,Primary,2 years,Rural,Yes,No,6223,17.4,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,7971,16.2,Fail
Public,Female,Primary,1 year,Urban,No,Yes,4525,19.0,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,3822,18.6,Fail
Public,Female,Secondary,None,Urban,No,No,5943,12.3,Fail
Public,Male,Primary,None,Urban,No,Yes,7530,18.8,Pass
Public,Female,Secondary,2 years,Urban,No,Yes,1258,13.7,Fail
Public,Female,Primary,2 years,Suburban,No,Yes,1282,14.3,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,2898,19.7,Fail
Private,Male,Secondary,None,Urban,Yes,No,5135,17.6,Fail
Public,Female,Primary,2 years,Urban,Yes,No,7629,13.2,Pass
Private,Male,Primary,None,Urban,Yes,No,4200,16.5,Fail
Public,Female,Tertiary,2 years,Urban,Yes,No,6110,15.4,Pass
Public,Female,Tertiary,1 year,Rural,No,Yes,8167,11.2,Fail
Public,Female,Primary,1 year,Rural,Yes,No,1612,18.9,Pass
Private,Male,Primary,None,Suburban,Yes,Yes,1687,18.2,Fail
Private,Female,Secondary,None,Urban,Yes,No,4690,17.8,Fail
Private,Female,Secondary,2 years,Suburban,Yes,Yes,9804,15.6,Fail
Private,Male,Primary,2 years,Suburban,Yes,No,3307,12.2,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,8133,18.8,Fail
Private,Female,Secondary,None,Urban,No,No,7509,13.5,Fail
Public,Female,Primary,1 year,Rural,No,No,6906,10.2,Fail
Private,Male,Tertiary,1 year,Urban,Yes,No,3591,19.8,Pass
Public,Female,Tertiary,None,Rural,Yes,Yes,8183,18.6,Pass
Public,Male,Primary,1 year,Suburban,Yes,No,6248,16.2,Fail
Private,Male,Primary,None,Suburban,No,Yes,9766,10.1,Pass
Public,Female,Secondary,2 years,Rural,Yes,Yes,6108,12.3,Pass
Public,Female,Primary,None,Rural,No,No,4604,14.5,Pass
Public,Male,Secondary,1 year,Urban,No,Yes,1669,16.3,Fail
Private,Female,Tertiary,None,Rural,Yes,No,5364,17.1,Fail
Private,Female,Secondary,None,Rural,No,Yes,8329,17.9,Fail
Public,Male,Primary,None,Urban,No,No,2283,15.6,Fail
Private,Female,Secondary,None,Suburban,Yes,Yes,1923,16.6,Pass
Public,Female,Tertiary,1 year,Rural,No,Yes,2125,18.1,Fail
Private,Male,Tertiary,2 years,Urban,No,No,2529,17.2,Pass
Public,Female,Primary,1 year,Urban,Yes,No,9438,19.5,Fail
Public,Male,Secondary,1 year,Rural,Yes,Yes,4711,18.7,Fail
Private,Male,Primary,2 years,Suburban,No,Yes,9004,11.7,Fail
Private,Female,Primary,1 year,Urban,Yes,No,7274,19.5,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,4864,12.0,Fail
Private,Female,Secondary,2 years,Suburban,Yes,Yes,8833,19.9,Pass
Private,Female,Primary,None,Rural,Yes,Yes,7788,17.0,Fail
Public,Male,Tertiary,1 year,Urban,No,Yes,1226,16.3,Pass
Public,Male,Primary,2 years,Urban,Yes,Yes,1264,13.2,Fail
Public,Male,Secondary,1 year,Urban,Yes,No,1645,11.3,Pass
Private,Male,Primary,1 year,Rural,Yes,Yes,8544,11.3,Fail
Private,Male,Secondary,2 years,Urban,Yes,No,6569,18.7,Fail
Public,Male,Tertiary,None,Rural,No,Yes,3990,14.3,Fail
Public,Female,Tertiary,2 years,Suburban,No,No,3504,15.6,Fail
Public,Female,Primary,None,Suburban,No,No,1587,19.3,Fail
Public,Male,Tertiary,2 years,Suburban,No,No,5079,12.6,Fail
Private,Female,Primary,2 years,Suburban,No,Yes,4348,17.6,Pass
Public,Male,Primary,None,Urban,Yes,Yes,7299,14.7,Pass
Private,Male,Secondary,None,Urban,No,No,4831,12.1,Fail
Public,Female,Primary,1 year,Rural,Yes,Yes,9381,18.5,Pass
Private,Female,Secondary,2 years,Suburban,No,No,2715,16.8,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,7450,10.9,Fail
